The Project Gutenberg EBook of A Complete Dictionary of Synonyms and,,
Antonyms  by Samuel Fallows,,
Thought, Reflection  reasoning  cogitation  supposition  view  sentiment  meditation  conception  idea  opinion  judgment  conceit  fancy  design  purpose  intention  cogitation  deliberation  care  provision  , Vacuity  incogitation  thoughtlessness  dream  hallucination  aberration  misconception  incogitancy  carelessness  improvidence  unreflectiveness
Thoughtful, Careful  provident  contemplative  considerate  anxious  pensive  cogitative  reflective  regardful  mindful  heedful  diligent  , Careless  improvident  unthinking  thoughtless  incontemplative  mindless  inconsiderate  regard less  heedless  rash  trifling  wanton  Idle  dreamy
Thoughtless  [See THOUGHTFUL], Thoughtless  [See THOUGHTFUL]    ,
Thorny, Spiny  prickly  harassing  troublesome    ,
Thraldom, Servitude  vassalage  slavery  bondage  confinement  serfdom  , Liberty  freedom  unrestraint  liberation  independence
Thread, Line  course  tenor  continuity  , Deviation  divergence  aberration  solution  intermission  interruption
Threadbare, Hackneyed  commonplace  trite  stale  worn out  [See TRITE]    ,
Threat, Menace  browbeating  denunciation  intimidation  , Encouragement  allurement  enticement  promise
Threatening, Menacing  intimidating  minatory  comminatory  minacious  foreboding  unpromising  imminent  impending  , Encouraging  promising  reassuring  enticing  passed  overpast  withdrawn
Thrift, Frugality  economy  saving  gain  profit  , Prodigality  waste  loss  expenditure
Thrifty, Prudent  careful  economical saving  frugal  flourishing  provident  sparing  , Thriftless  unthrifty  wasteful  prodigal  [See SCATTER]
Thrilling, Arousing  stirring  exciting  affecting  pleasing  , Calming  composing  allaying  offending  paining
Thrive, Prosper  increase  flourish  grow  succeed  fatten  luxuriate  , Decay  lade  wane  wither  decline  waste  languish  diminish  droop  pine
Throw, Fling  cast  hurl  toss  project  propel  , retain  recal  revoke  hold  restrain  draw  haul
Thrust, Push  drive  force  Dress  shove  impel  urge  , Draw  retract  snatch  extract
Thwart, Oppose  cross  frustrate  oppugn  defeat  [See OPPOSE]    ,
Tickle, Titillate  please  gratify  amuse  , Irritate  hurt  annoy  vex
Tide, Flow  course  current  rush  inundation  influx  stream  movement  flood  , Stagnation  arrestation  stoppage  cessation  motionlessness  subsidence
Tidings, News  announcement  information  rumor  report  intelligence  advice  , Suppression  nonannouncement  misreport  misinformation
Tidy, Neat  orderly  spruce  clean  cleanly  tight  , Disorderly  untidy  slovenly
Tie -n, Band  ligature  ligament  fastening  knot  bond    ,
Tie -v, Bind  restrict  restrain  fasten  confine  unite  secure  oblige  join  [See BIND]    ,
Tight, Firm  compact  fast  close  tidy  neat  smart  natty  tense  stretched  , Loose  incompact  open  flowing  loose-fitting  large  untidy  lax  relaxed
Till, Plow  prepare  cultivate  dress  tend  , Neglect  waste  abandon  fallow
Time, Period  duration  season  interval  date  opportunity  age  era  occasion  term  space  span  spell  , Neverness  eternity  non-duration  indetermination  indeterminableness
Timely, Early  seasonable  opportune  prompt  judicious  , Late  unseasonable  inopportune  injudicious  ill-timed  untimely
Timeserving, Temporizing  versatile  servile  trimming  , Independent  high-spirited  on-time-serving
Timid, Fearful  pusillanimous  shy  diffident  coy  timorous  afraid  cowerly  fainthearted  inadventurous  , Bold  confident  venturesome  courageous  overventuresome  rash  audacious
Tincture -n, color  slight taste  [See TINGE  n]    ,
Tincture -v, Tinge  color  dye  stain  shade  impregnate  [See TINGE  v]    ,
Tinge -n, Tincture  color  tint  dye  stain  shade  flavor    ,
Tinge -v  Color  dye  stain  imbue  impregnate  affect  ANT: Disimbue  disinfect  disindoctrinate, Tinge -v  Color  dye  stain  imbue  impregnate  affect  , Disimbue  disinfect  disindoctrinate
Tinsel, Tawdriness  spangle  frippery  glitter  , Costliness  richness  chasteness  gorgeousness  sumptuousness  magnificence  splendor
Tint, Color  hue  tinge  dye  complexion  , Achromatism  decoloration  paleness  pallor  bleaching  etiolation  colorlessness  sallowness  wanness  cadaverousness  exsanguineousness
Tiny, Puny  wee  small  little  diminutive  Lilliputian  microscopic  , Huge  bulky  gigantic  cyclopean  sizable  considerable
Tip, Point  extremity  end  top  cap  [See TERMINATION]    ,
Tipsy, Drunk  Intoxicated  fuddled  inebriated  muzzy  , Sober  temperate
Tire, Exhaust  weary  fatigue  dispirit  jade  harass  bore  , Enliven  animate  refresh  amuse  excite
Tired, Wearied  fatigued  worn-out  jaded  , Rested  refreshed  unwearied
Tireless, Unwearied  untiring  indefatigable  [See TIRE and TIRED]    ,
Tiresome, Fatiguing  wearisome  exhausting  irksome  tedious  [See TEDIOUS]    ,
Title, Inscription  heading  denomination  style  designation  appellation  distinction  address  epithet  name  , Non-designation  indistinction  nondescript  namelessness  non-denomination
Tittle, Jot  particle  iota  whit  scintilla  spark  grain  atom  [See ATOM and IOTA]    ,
Together, Unitedly  conjointly  contemporaneously  concertedly  simultaneously  coincidently  concomitantly  concurrently  , Separately  disconnectedly  independently  variously  incoincidently  inconcurrently
Toil -n, Labor  pain  fatigue  drudgery  work  exertion  task  travail  , Ease  relaxation  rest  recreation  amusement  pleasure
Toil -v, Labor  work  drudge  strive  [See DRUDGE]    ,
Toilsome, Wearisome  tiresome  laborious  fatiguing  hard  difficult  painful  [See DIFFICULT and TIRESOME]    ,
Token, Evidence  exhibition  demonstration  sample  illustration  memorial  symbol  indication  badge  index  symptom  diagnosis  sign  , Misindication  misrepresentation  falsification  misillustration
Tolerable, Endurable  bearable  supportable  sufferable  allowable  permissible  sufficient  passable  , Unendurable  unbearable  insupportable  insufferable  unallowable  impermissible  insufficient  intolerable
Tolerant, Forbearing  indulgent  large-minded  , Intolerant  bigoted  extreme
Tolerate, Suffer  allow  permit  admit  bear  endure  , repel  disallow  prohibit  repudiate  reject  resist
Toll, Impost  tax  rate  duty  assessment  contribution  tribute  demand  exaction  [See IMPOST]    ,
Tomb, Grave  vault  catacomb  sepulcher  crypt  house of death  narrow house  long home    ,
Tone, Pitch  loudness  mood  intonation  sound  temper  tenor  character  drift  effect  , Atony  laxity  tunelessness
Tongue, Discourse  speech  language  dialect  idiom  [See IMPOST]    ,
Tool, Utensil  implement  machine  instrument  dupe  cat's-paw  hireling  [See IMPLEMENT and AGENT]    ,
Top, Apex  head  culmination  extreme  summit  , Foot  bottom  root  base tail
Topic, Question  theme  subject  subject-matter  [See THEME and DISQUISITION]    ,
Torment, Tease  worry  persecute  rack  plague  tantalize  pain  distress  afflict  torture  harass  importune  , Soothe  gratify  please  entertain  delight  amuse
Torpid, Numb  lifeless  senseless  dull  sluggish  inactive  hibernating  insensible  inert  , Lively  animated  gay  brisk  nimble  active  restless  energetic  vivacious  sensitive  alive
Torrid, Hot  burning  arid  heated  parching  scorching  sultry  , Temperate  fresh  cool  breezy  gelid  frigid  arctic  brumal  wintry
Tortuous, Devious  circuitous  anfractuous  ambiguous  complicated  sinuous  deceitful  crooked  twisting  indirect  sinister  indexed  , Right  straight  direct  rectilinear  straightforward  undeviating
Torture, Agony  anguish  racking  torment  , Ecstasy  rapture  bliss
Toss, Pitch  cast  hurl  shake  roll  rock  buffet  [See CAST]    ,
Total -a, Whole  entire  complete  undivided  gross  [See WHOLE]    ,
Total -n, Aggregate  whole  entirety  sum  completion  , Part  item  portion  contribution
Totally, Entirely  wholly  fully  quite  altogether  , Partially  incompletely
Totter, Stagger  reel  shake  tremble  rock  falter  [See TREMBLE]    ,
Tottering, Nodding  faltering  shaky  vacillating  reeling  ruinous  , Firm  unfaltering  steady  solid  immovable
Touch -v, Handle  reach  feel  arrive at  affect  impress  move  [See TREMBLE]  [See MOVE and AFFECT]    ,
Touching, Affecting  tender  moving  pathetic  [See PATHETIC]    ,
Touchy, Testy  peevish  Irritable  [See PEEVISH]    ,
Tough, Resistent  stubborn  lentous  fibrous  difficult  refractory  hard  unmanageable  tenacious  firm  strong  , Yielding  tender  soft  brittle  fragile  frangible  friable
Tour, Trip  excursion  jaunt  ramble  turn  outing    ,
Tow, Drag  draw  pull  haul  [See PULL]    ,
Toy -v, Play  fondle  caress  sport  frolic  dally  trifle  [See DALLY]    ,
Toy -n, Bauble  trifle  bagatelle  gewgaw  plaything  , Implement  utensil  weapon
Trace, Explore  track  follow  derive  deduce  thread  investigate  delineate  pursue  , Miss  lose  misinvestigate  misdelineate
Track -v  [See TRACE], Track -v  [See TRACE]    ,
Track -n, Mark  footprint  trace  course  trail  way  vestige  [See VESTIGE]    ,
Trackless, Untrodden  unfrequented  pathless  wild  , Frequented  trodden  wellmarked
Tract, District  quarter  region  piece  patch    ,
Tractable, Docile  manageable  amenable  , Unmanageable  unamenable  refractory  intractable
Trade -n, Traffic  commerce  dealing  exchange  buying and selling  employment  occupation  [See COMMERCE and OCCUPATION]    ,
Traditional, Transmitted  oral  unwritten  , Written  documentary
Traduce, Malign  asperse  calumniate  vilify  defame  slander  decry  , Praise  commend  eulogize
Traffic, Commerce  exchange  intercourse  [See TRADE]    ,
Tragedy, Disaster  calamity  affliction  adversity  catastrophe  grief  , Joy  delight  boon  prosperity  comedy
Tragic, Mournful  fatal  calamitous  sorrowful  shocking  [See CALAMITOUS]    ,
Train -v, Lead  rear  accustom  habituate  inure  drill  exercise  prose  discipline  Instruct  bend  educate  , Force  break  trail  disaccustom  dishabituate  miseducate  disqualify
Train -n, Suite  procession  retinue  cortege  course  series  [See RETINUE]    ,
Trait, Feature  characteristic  touch  stroke  line  [See FEATURE]    ,
Traitor, Rebel  renegade  betrayer  turncoat  [See RENEGADE]    ,
Traitorous, Treacherous  false  faithless  perfidious  treasonable  disloyal  [See LOYAL and PERFIDIOUS]    ,
Trammel, Restraint  shackles  fetters  impediment  clog  hindrance  , Liberation  freedom  extrication  unconfinement  unrestraint  play
Tranquil, Quiet  peaceful  calm  still  undisturbed  unruffled  composed  unanxious  smooth  , Unquiet  agitated  disturbed  anxious  excited  restless  uneasy
Tranquillize, Calm  quiet  appease  pacify  allay  assuage  soothe  [See SOOTH]    ,
Transact, Conduct  perform  treat  complete  carry on  manage  negotiate  , Mistransact  misconduct  mismanage  misnegotiate
Transaction, Business  affair  negotiation  occurrence  performance  proceeding  action  , Nonperformance  desistance  mistransaction  mismanagement  suspension  postponement  adjournment  non-transaction
Transcend, Surmount  surpass  out-top  outstrip  excel  exceed  eclipse  outvie  , Fail  fall  foil
Transcendent, Consummate  egregious  superior  unexampled  insurpassable  unattainable  surpassing  supreme  matchless  unrivalled  peerless  incomparable  supereminent  , Ordinary  attainable  average  common  unsurprising
Transcribe, Copy  transfer    ,
Transfer, Convey  transport  remove  sell  assign  remand  make over  transplant  give  alienate  translate  transmit  forward  exchange  , retain  withhold  fix  appropriate  keep
Transfigure  [See TRANSFORM], Transfigure  [See TRANSFORM]    ,
Transform, Transfigure  metamorphose  change  transmute  , Stabilitate  arrest  perpetuate  conserve
Transgress, Break  violate  pass  disobey  contravene  sin  offend  infringe  trespass  , Observe  keep  obey  fulfil  respect
Transgression, Offence  fault  sin  crime  [See OFFENCE]    ,
Transgressor, Offender  wrongdoer  sinner  culprit  [See CULPRIT]    ,
Transient, Fleeting  fugitive  transitory  temporary  passing  evanescent  ephemeral  momentary  brief  , Abiding  permanent  perpetual  persistent  lasting  enduring
Translate, Construe  render  interpret  transfer  transform   [See INTERPRET and TRANSFER]    ,
Transmit  [See TRANSFER], Transmit  [See TRANSFER]    ,
Transmute  [See TRANSFORM], Transmute  [See TRANSFORM]    ,
Transparent, Pellucid  crystalline  translucent  limpid  diaphanous  obvious  clear  indisputable  self-evident  , Thick  turbid  opaque  intransparent  mysterious  dubious  questionable
Transpire, Escape  appear  exude  , Lurk  latitat  lie
Transport -v, Bear  carry  convey  banish  enrapture  delight  ravish  [See ENRAPTURE]  [See ENRAPTURE]    ,
Transport -n, Ecstasy  rapture  enravishment  bliss  , Agony  paroxysm  mortification  distress  annoyant  vexation
Transpose, Change  transmute  interchange  reverse  shift  transfer  displace  , Stereotype  stabilitate  fix  retain
Transverse, Athwart  crosswise  across  rectangular  , Parallel  rectilinear
Trap, Snare  ambush  stratagem  noose  pitfall  , Warning  beacon  signal-post  lighthouse  premonition
Trapping  Trappings, Gear  adornments  decorations  ornaments  apparatus  paraphernalia  tackle  harness  housings  , Divestment  dismantlement  stripping
Trash, Nonsense  refuse  vileness  superfluity  offal  worthlessness  dross  trifles  stuff  waste matter  seaweed  sawdust  twaddle  , Sense  soundness  usefulness  wisdom  treasure
Travail, Labor  toil  heaviness  affliction  , Ease  rest  lightness  joy
